"title"
"""The nit-picking glory of The New Yorker's Comma Queen | Mary Norris"""
"""The unexpected benefit of celebrating failure | Astro Teller"""
"""A new superweapon in the fight against cancer | Paula Hammond"""
"""TED's secret to great public speaking | Chris Anderson"""
"""Your kids might live on Mars. Here's how they'll survive | Stephen Petranek"""
"""What does it mean to be a citizen of the world? | Hugh Evans"""
"""The mind behind Linux | Linus Torvalds"""
"""The Panama Papers exposed a huge global problem. What's next? | Robert Palmer"""
"""The most mysterious star in the universe | Tabetha Boyajian"""
"""The magic ingredient that brings Pixar movies to life | Danielle Feinberg"""
"""How megacities are changing the map of the world | Parag Khanna"""
"""The surprising habits of original thinkers | Adam Grant"""
"""How a start-up in the White House is changing business as usual | Haley Van Dyck"""
"""Two reasons companies fail -- and how to avoid them | Knut Haanaes"""
"""How humans could evolve to survive in space | Lisa Nip"""
"""Why gun violence can't be our new normal | Dan Gross"""
"""The beauty of human skin in every color | Angélica Dass"""
"""The dawn of the age of holograms | Alex Kipman"""
"""How young Africans found a voice on Twitter | Siyanda Mohutsiwa"""
"""You have no idea where camels really come from | Latif Nasser"""
"""How to get back to work after a career break | Carol Fishman Cohen"""
"""A prosecutor's vision for a better justice system | Adam Foss"""
"""A glimpse of the future through an augmented reality headset | Meron Gribetz"""
"""A conservative's plea: Let's work together | Arthur Brooks"""
"""The reporting system that sexual assault survivors want | Jessica Ladd"""
"""Inside the mind of a master procrastinator | Tim Urban"""
"""How Airbnb designs for trust | Joe Gebbia"""
"""The gospel of doubt | Casey Gerald"""
"""This country isn't just carbon neutral — it's carbon negative | Tshering Tobgay"""
"""Simple hacks for life with Parkinson's | Mileha Soneji"""
"""The secrets I find on the mysterious ocean floor | Laura Robinson"""
"""This computer will grow your food in the future | Caleb Harper"""
"""Teach girls bravery, not perfection | Reshma Saujani"""
"""Uber's plan to get more people into fewer cars | Travis Kalanick"""
"""Our refugee system is failing. Here's how we can fix it | Alexander Betts"""
"""What really happens when you mix medications? | Russ Altman"""
"""How yarn bombing grew into a worldwide movement | Magda Sayeg"""
"""Dive into an ocean photographer's world | Thomas Peschak"""
"""Why we need gender-neutral bathrooms | Ivan Coyote"""
"""Why your doctor should care about social justice | Mary Bassett"""
"""How to make a profit while making a difference | Audrey Choi"""
"""What do you think when you look at me? | Dalia Mogahed"""
"""The case for optimism on climate change | Al Gore"""
"""Meet the dazzling flying machines of the future | Raffaello D'Andrea"""
"""What the discovery of gravitational waves means | Allan Adams"""
"""My year of saying yes to everything | Shonda Rhimes"""
"""10 ways to have a better conversation | Celeste Headlee"""
"""The brain may be able to repair itself -- with help | Jocelyne Bloch"""
"""The problem with race-based medicine | Dorothy Roberts"""
"""The case for fish farming | Mike Velings"""
"""How I'm discovering the secrets of ancient texts | Gregory Heyworth"""
"""Shape-shifting tech will change work as we know it | Sean Follmer"""
"""Economic growth has stalled. Let's fix it | Dambisa Moyo"""
"""Special Olympics let me be myself — a champion | Matthew Williams"""
"""How we'll fight the next deadly virus | Pardis Sabeti"""
"""A simple way to break a bad habit | Judson Brewer"""
"""How I found a mythical boiling river in the Amazon | Andrés Ruzo"""
"""A delightful way to teach kids about computers | Linda Liukas"""
"""Our campaign to ban plastic bags in Bali | Melati and Isabel Wijsen"""
"""A robot that runs and swims like a salamander | Auke Ijspeert"""
"""Should you be able to patent a human gene? | Tania Simoncelli"""
"""Glow-in-the-dark sharks and other stunning sea creatures | David Gruber"""
"""Capitalism will eat democracy -- unless we speak up | Yanis Varoufakis"""
"""The unheard story behind the Sistine Chapel | Elizabeth Lev"""
"""How I turned a deadly plant into a thriving business | Achenyo Idachaba"""
"""Can a computer write poetry? | Oscar Schwartz"""
"""How we can make crops survive without water | Jill Farrant"""
"""The mysterious world of underwater caves | Jill Heinerth"""
"""Why great architecture should tell a story | Ole Scheeren"""
"""Let's design social media that drives real change | Wael Ghonim"""
"""I love being a police officer, but we need reform | Melvin Russell"""
"""How frustration can make us more creative | Tim Harford"""
"""This is what happens when you reply to spam email | James Veitch"""
"""4 ways we can avoid a catastrophic drought | David Sedlak"""
"""How we'll find life on other planets | Aomawa Shields"""
"""How to use data to make a hit TV show | Sebastian Wernicke"""
"""Have we reached the end of physics? | Harry Cliff"""
"""What makes a good life? Lessons from the longest study on happiness | Robert Waldinger"""
"""Governments don't understand cyber warfare. We need hackers | Rodrigo Bijou"""
"""Refugees have the right to be protected | António Guterres"""
"""A hilarious celebration of lifelong female friendship | Jane Fonda and Lily Tomlin"""
"""What happens when a city runs out of room for its dead | Alison Killing"""
"""Let's not use Mars as a backup planet | Lucianne Walkowicz"""
"""The four fish we're overeating -- and what to eat instead | Paul Greenberg"""
"""A beatboxing lesson from a father-daughter duo | Nicole Paris and Ed Cage"""
"""How germs travel on planes -- and how we can stop them | Raymond Wang"""
"""Forget Shopping. Soon You'll Download Your New Clothes | Danit Peleg | TED Talks"""
"""The Untapped Genius That Could Change Science for the Better | Jedidah Isler | TED Talks"""
"""How New Technology Helps Blind People Explore the World | Chieko Asakawa | TED Talks"""
"""How America Fails New Parents — and Their Babies | Jessica Shortall | TED Talks"""
"""The Year in Ideas: TED Talks of 2015"""
"""How We're Growing Baby Corals to Rebuild Reefs | Kristen Marhaver | TED Talks"""
"""An Art Made of Trust, Vulnerability and Connection | Marina Abramović | TED Talks"""
"""Why the Best Hire Might Not Have the Perfect Resume | Regina Hartley | TED Talks"""
"""My Year Reading a Book from Every Country in the World | Ann Morgan | TED Talks"""
"""Why are these 32 symbols found in caves all over Europe | Genevieve von Petzinger"""
"""What are animals thinking and feeling? | Carl Safina"""
"""My Country Will Be Underwater Soon -- Unless We Work Together | Anote Tong | TED Talks"""
"""The Future of News? Virtual Reality | Nonny de la Peña | TED Talks"""
"""The secret sneaker market — and why it matters | Josh Luber"""
"""The Chilling Aftershock of a Brush with Death | Jean-Paul Mari | TED Talks"""
"""How I'm Working for Change Inside My Church | Chelsea Shields | TED Talks"""
"""The Moral Bias Behind Your Search Results | Andreas Ekström | TED Talks"""
"""This Is What LGBT Life Is Like Around the World | Jenni Chang and Lisa Dazols | TED Talks"""
"""Forget Wi-Fi. Meet the new Li-Fi Internet | Harald Haas"""
"""The coolest animal you know nothing about ... and how we can save it | Patrícia Medici"""
"""A boat carrying 500 refugees sunk at sea. The story of two survivors | Melissa Fleming"""
"""The Heartbreaking Text That Inspired a Crisis Help Line | Nancy Lublin | TED Talks"""
"""How to stay calm when you know you'll be stressed | Daniel Levitin"""
"""Art That Lets You Talk Back to NSA Spies | Mathias Jud | TED Talks"""
"""The Enchanting Music of Sign Language | Christine Sun Kim | TED Talks"""
"""How I Teach Kids to Love Science | Cesar Harada | TED Talks"""
"""Social Services Are Broken. How We Can Fix Them | Hilary Cottam | TED.com"""
"""Deep Under the Earth's Surface, Discovering Beauty and Science | Francesco Sauro | TED Talks"""
"""An Internet Without Screens Might Look Like This | Tom Uglow | TED Talks"""
"""How CRISPR lets us edit our DNA | Jennifer Doudna"""
"""The unexpected beauty of everyday sounds | Meklit Hadero"""
"""The secret US prisons you've never heard of before | Will Potter"""
"""Two Nameless Bodies Washed Up on the Beach. Here Are Their Stories | Anders Fjellberg | TED Talks"""
"""Why Medicine Often Has Dangerous Side Effects for Women | Alyson McGregor | TED Talks"""
"""The Future of Flying Robots | Vijay Kumar | TED Talks"""
"""How We Can Make the World a Better Place by 2030 | Michael Green | TED Talks"""
"""Home Is a Song I've Always Remembered | Teitur | TED Talks"""
"""You can grow new brain cells. Here's how | Sandrine Thuret"""
"""Design at the Intersection of Technology and Biology | Neri Oxman | TED Talks"""
"""Soon We'll Cure Diseases With a Cell, Not a Pill | Siddhartha Mukherjee | TED Talks"""
"""Climate Change Is Happening. Here's How We Adapt | Alice Bows-Larkin | TED Talks"""
"""Why some of us don't have one true calling | Emilie Wapnick"""
"""How My Mind Came Back to Life — and No One Knew | Martin Pistorius | TED Talks"""
"""Stunning Photos of the Endangered Everglades | Mac Stone | TED Talks"""
"""Don't Ask Where I'm From, Ask Where I'm a Local | Taiye Selasi | TED Talks"""
"""Alzheimer’s Is Not Normal Aging — And We Can Cure It | Samuel Cohen | TED Talks"""
"""4 Powerful Poems about Parkinson's and Growing Older | Robin Morgan | TED Talks"""
"""Why Climate Change Is a Threat to Human Rights | Mary Robinson | TED Talks"""
"""Why Public Beheadings Get Millions of Views | Frances Larson | TED Talks"""
"""How I Stopped the Taliban from Shutting Down My School | Sakena Yacoobi | TED Talks"""
"""How to find work you love | Scott Dinsmore"""
"""Falling in love is the easy part | Mandy Len Catron"""
"""Why Gender Equality Is Good for Everyone — Men Included | Michael Kimmel | TED Talks"""
"""The Story We Tell About Poverty Isn't True | Mia Birdsong | TED Talks"""
"""How fear drives American politics | David Rothkopf | TED Talks"""
"""This Tennis Icon Paved the Way for Women in Sports | Billie Jean King | TED Talk"""
"""What really matters at the end of life | BJ Miller"""
"""The Way We Think about Work Is Broken | Barry Schwartz | TED Talks"""
"""I leapt from the stratosphere. Here's how I did it | Alan Eustace"""
"""A Rare Interview with the Mathematician Who Cracked Wall Street | Jim Simons | TED Talks"""
"""How the mysterious dark net is going mainstream | Jamie Bartlett"""
"""An Invitation to Men Who Want a Better World for Women | Elizabeth Nyamayaro | TED Talks"""
"""This new telescope might show us the beginning of the universe | Wendy Freedman"""
"""How Too Many Rules at Work Keep You from Getting Things Done | Yves Morieux | TED Talks"""
"""These Robots Come to the Rescue after a Disaster | Robin Murphy | TED Talks"""
"""Why Vaccines are Made Too Late... If They’re Made At All | Seth Berkley | TED Talks"""
"""How Quantum Biology Might Explain Life’s Biggest Questions | Jim Al-Khalili | TED Talks"""
"""Bring on the Learning Revolution! | Ken Robinson | TED Talks"""
"""A Journey Through the Mind of an Artist | Dustin Yellin | TED Talks"""
"""How to Avoid Surveillance...With Your Phone | Christopher Soghoian | TED Talks"""
"""How young blood might help reverse aging. Yes, really | Tony Wyss-Coray"""
"""A Visual History of Human Knowledge | Manuel Lima | TED Talks"""
"""My Inner Life with Asperger's | Alix Generous | TED Talks"""
"""Could We Cure HIV with Lasers? | Patience Mthunzi | TED Talks"""
"""A Black Man in America's Whitest Towns | Rich Benjamin | TED Talks"""
"""The surprising way groups like ISIS stay in power | Benedetta Berti"""
"""Why humans run the world | Yuval Noah Harari"""
"""Street Art for Hope and Peace | eL Seed | TED Talks"""
"""Paper towns and why learning is awesome | John Green"""
"""What Islam really says about women | Alaa Murabit"""
"""Clayton Cameron: A-rhythm-etic. The math behind the beats"""
"""Henry Lin: What we can learn from galaxies far, far away"""
"""How one tweet can ruin your life | Jon Ronson"""
"""Eddy Cartaya: My glacier cave discoveries"""
"""Adam Sadowsky: How to engineer a viral music video"""
"""Wadah Khanfar: A historic moment in the Arab world"""
"""Robert Wright: The evolution of compassion"""
"""Robert Thurman: Expanding your circle of compassion"""
"""Feisal Abdul Rauf: Lose your ego, find your compassion"""
"""James Forbes: Compassion at the dinner table"""
"""Dayananda Saraswati: The profound journey of compassion"""
"""Jackie Tabick: The balancing act of compassion"""
"""Nellie McKay: ""Clonie"""""
"""Bill Strickland: Rebuilding a neighborhood with beauty, dignity, hope"""
"""Nora York: Singing ""What I Want"""""
"""McKenna Pope: Want to be an activist? Start with your toys"""
"""Pam Warhurst: How we can eat our landscapes"""
"""Bahia Shehab: A thousand times no"""
"""Jonathan Eisen: Meet your microbes"""
"""Vinay Venkatraman: Technology crafts for the digitally underserved"""
"""Daniel Pauly: The ocean's shifting baseline"""
"""Marlene Zuk: What we learn from insects’ kinky sex lives"""
"""Amy Purdy: Living beyond limits"""
"""John Bohannon: Dance vs. powerpoint, a modest proposal"""
"""Srdja Popovic: How to topple a dictator"""
"""Bilal Bomani: Plant fuels that could power a jet"""
"""Julian Baggini: Is there a real you?"""
"""Mick Mountz: What happens inside those massive warehouses?"""
"""Drew Dudley: Everyday leadership"""
"""Garth Lenz: The true cost of oil"""
"""Avi Rubin: All your devices can be hacked"""
"""Larry Smith: Why you will fail to have a great career"""
"""Peter Saul: Let's talk about dying"""
"""Jonathan Foley: The other inconvenient truth"""
"""Joe Smith: How to use a paper towel"""
"""Brenda Romero: Gaming for understanding"""
"""Tavi Gevinson: A teen just trying to figure it out"""
"""Rick Guidotti: From stigma to supermodel"""
"""Bart Knols: Cheese, dogs and a pill to kill mosquitoes and end malaria"""
"""Michael McDaniel: Cheap, effective shelter for disaster relief"""
"""Ken Goldberg: 4 lessons from robots about being human"""
"""David Mackay: A reality check on renewables"""
"""Seth Shostak: ET is (probably) out there — get ready"""
"""David Birch: A new way to stop identity theft"""
"""Ami Klin: A new way to diagnose autism"""
"""Jon Nguyen: Tour the solar system from home"""
"""Nirmalya Kumar: India's invisible innovation"""
"""Todd Humphreys: How to fool a GPS"""
"""Noah Wilson-Rich: Every city needs healthy honey bees"""
"""John Graham-Cumming: The greatest machine that never was"""
"""Emma Teeling: The secret of the bat genome"""
"""Megan Kamerick: Women should represent women in media"""
"""Alec Soth + Stacey Baker: This is what enduring love looks like"""
"""Adam Garone: Healthier men, one moustache at a time"""
"""Aspen Baker: A better way to talk about abortion"""
"""Noy Thrupkaew: Human trafficking is all around you. This is how it works"""
"""Ash Beckham: When to take a stand -- and when to let it go"""
"""Everything you think you know about addiction is wrong | Johann Hari"""
"""A Warrior’s Cry Against Child Marriage | Memory Banda | TED Talks"""
"""The Math Behind Basketball's Wildest Moves | Rajiv Maheswaran | TED Talks"""
"""Gayle Tzemach Lemmon: Meet the first women to fight on the front lines of an American war"""
"""Latif Nasser: The amazing story of the man who gave us modern pain relief"""
"""Jimmy Carter: Why I believe the mistreatment of women is the number one human rights abuse"""
"""Dame Ellen MacArthur: The surprising thing I learned sailing solo around the world"""
"""Chris Urmson: How a driverless car sees the road"""
"""Maryn McKenna: What do we do when antibiotics don’t work any more?"""
"""Chip Kidd: The art of first impressions — in design and life"""
"""Roxane Gay: Confessions of a bad feminist"""
"""An 11-year-old prodigy performs old-school jazz | Joey Alexander"""
"""LaToya Ruby Frazier: A visual history of inequality in industrial America"""
"""Steve Silberman: The forgotten history of autism"""
"""Margaret Heffernan: Why it's time to forget the pecking order at work"""
"""Rana el Kaliouby: This app knows how you feel — from the look on your face"""
"""Lee Mokobe: A powerful poem about what it feels like to be transgender"""
"""Do we see reality as it is? | Donald Hoffman"""
"""Sarah Jones: One woman, five characters, and a sex lesson from the future"""
"""This is what it's like to go undercover in North Korea | Suki Kim"""
"""Linda Cliatt-Wayman: How to fix a broken school? Lead fearlessly, love hard"""
"""Trevor Aaronson: How this FBI strategy is actually creating US-based terrorists"""
"""The first secret of great design | Tony Fadell"""
"""Laura Schulz: The surprisingly logical minds of babies"""
"""The single biggest reason why startups succeed | Bill Gross"""
"""Jimmy Nelson: Gorgeous portraits of the world's vanishing people"""
"""Sara Seager: The search for planets beyond our solar system"""
"""What does my headscarf mean to you? | Yassmin Abdel-Magied"""
"""Jeffrey Brown: How we cut youth violence in Boston by 79 percent"""
"""Chris Burkard: The joy of surfing in ice-cold water"""
"""Rethinking infidelity ... a talk for anyone who has ever loved | Esther Perel"""
"""Chimps have feelings and thoughts. They should also have rights"""
"""Cosmin Mihaiu: Physical therapy is boring — play a game instead"""
"""Martine Rothblatt: My daughter, my wife, our robot, and the quest for immortality"""
"""The Lady Lifers: A moving song from women in prison for life"""
"""Why city flags may be the worst-designed thing you've never noticed | Roman Mars"""
"""Magical houses, made of bamboo | Elora Hardy"""
"""The first 21 days of a bee’s life | Anand Varma"""
"""Dawn Landes: A song for my hero, the woman who rowed into a hurricane"""
"""Tal Danino: We can use bacteria to detect cancer (and maybe treat it)"""
"""Bill T. Jones: The dancer, the singer, the cellist ... and a moment of creative magic"""
"""Abe Davis: New video technology that reveals an object's hidden properties"""
"""Pamela Ronald: The case for engineering our food"""
"""Alice Goffman: How we're priming some kids for college — and others for prison"""
"""Sophie Scott: Why we laugh"""
"""How to control someone else's arm with your brain | Greg Gage"""
"""What happens when our computers get smarter than we are? | Nick Bostrom"""
"""Nizar Ibrahim: How we unearthed the spinosaurus"""
"""How to raise a black son in America | Clint Smith"""
"""Chris Milk: How virtual reality can create the ultimate empathy machine"""
"""Jedidah Isler: How I fell in love with quasars, blazars and our incredible universe"""
"""Gary Haugen: The hidden reason for poverty the world needs to address now"""
"""Nathalie Cabrol: How Mars might hold the secret to the origin of life"""
"""Paul Tudor Jones II: Why we need to rethink capitalism"""
"""The best kindergarten you’ve ever seen | Takaharu Tezuka"""
"""Kailash Satyarthi: How to make peace? Get angry"""
"""Barat Ali Batoor: My desperate journey with a human smuggler"""
"""Fred Jansen: How to land on a comet"""
"""Dan Ariely: How equal do we want the world to be? You'd be surprised"""
"""Eduardo Sáenz de Cabezón: Math is forever"""
"""5 ways to kill your dreams | Bel Pesce"""
"""Bill Gates: The next outbreak? We’re not ready"""
"""Boniface Mwangi: The day I stood up alone"""
"""Are China and the US doomed to conflict? | Kevin Rudd"""
"""Daniel Kish: How I use sonar to navigate the world"""
"""Alison Killing: There’s a better way to die, and architecture can help"""
"""Dame Stephanie Shirley: Why do ambitious women have flat heads?"""
"""Theaster Gates: How to revive a neighborhood: with imagination, beauty and art"""
"""Dave Isay: Everyone around you has a story the world needs to hear"""
"""Anand Giridharadas: A tale of two Americas. And the mini-mart where they collided"""
"""How we teach computers to understand pictures | Fei Fei Li"""
"""The price of shame | Monica Lewinsky"""
"""What if 3D printing was 100x faster? | Joseph DeSimone"""
"""Can we create new senses for humans? | David Eagleman"""
"""Robyn Stein DeLuca: The good news about PMS"""
"""Vincent Cochetel: I was held hostage for 317 days. Here's what I thought about…"""
"""Linda Hill: How to manage for collective creativity"""
"""Shimpei Takahashi: Play this game to come up with original ideas"""
"""Ismael Nazario: What I learned as a kid in jail"""
"""Why the buildings of the future will be shaped by ... you | Marc Kushner"""
"""Sangu Delle: In praise of macro -- yes, macro -- finance in Africa"""
"""Ilona Szabó de Carvalho: 4 lessons I learned from taking a stand against drugs and gun violence"""
"""Andy Yen: Think your email's private? Think again"""
"""Harry Baker: A love poem for lonely prime numbers"""
"""Topher White: What can save the rainforest? Your used cell phone"""
"""Jon Gosier: The problem with ""trickle-down techonomics"""""
"""Helder Guimarães: A magical search for a coincidence"""
"""Ben Wellington: How we found the worst place to park in New York City — using big data"""
"""Romina Libster: The power of herd immunity"""
"""Khalida Brohi: How I work to protect women from honor killings"""
"""Rob Knight: How our microbes make us who we are"""
"""James A. White Sr.: The little problem I had renting a house"""
"""Angelo Vermeulen: How to go to space, without having to go to space"""
"""Laura Boushnak: For these women, reading is a daring act"""
"""How childhood trauma affects health across a lifetime | Nadine Burke Harris"""
"""How to practice emotional first aid | Guy Winch"""
"""The mathematics of love | Hannah Fry"""
"""Kenneth Shinozuka: My simple invention, designed to keep my grandfather safe"""
"""Ricardo Semler: Radical wisdom for a company, a school, a life"""
"""Jaap de Roode: How butterflies self-medicate"""
"""Brian Dettmer: Old books reborn as intricate art"""
"""Tom Wujec: Got a wicked problem? First, tell me how you make toast"""
"""10 myths about psychology: debunked | Ben Ambridge"""
"""Bruce Aylward: Humanity vs. Ebola. The winning strategies in a terrifying war"""
"""Rodney Mullen: Pop an ollie and innovate!"""
"""Zeynep Tufekci: How the Internet has made social change easy to organize, hard to win"""
"""Bassam Tariq: The beauty and diversity of Muslim life"""
"""Khadija Gbla: My mother’s strange definition of empowerment"""
"""Severine Autesserre: To solve mass violence, look to locals"""
"""Miguel Nicolelis: Brain-to-brain communication has arrived. How we did it"""
"""The danger of hiding who you are | Morgana Bailey"""
"""Joe Madiath: Better toilets, better life"""
"""Sarah Bergbreiter: Why I make robots the size of a grain of rice"""
"""Matthieu Ricard: How to let altruism be your guide"""
"""Cristina Domenech: Poetry that frees the soul"""
"""Robert Muggah: How to protect fast-growing cities from failing"""
"""Robert Swan: Let's save the last pristine continent"""
"""Navi Radjou: Creative problem-solving in the face of extreme limits"""
"""Tasso Azevedo: Hopeful lessons from the battle to save rainforests"""
"""Fredy Peccerelli: A forensic anthropologist who brings closure for the “disappeared"""""
"""Aziz Abu Sarah: For more tolerance, we need more ... tourism?"""
"""Daniele Quercia: Happy maps"""
"""Asha de Vos: Why you should care about whale poo"""
"""See invisible motion, hear silent sounds. Cool? Creepy? We can't decide | Michael Rubinstein"""
"""Erin McKean: Go ahead, make up new words!"""
"""Mundano: Pimp my ... trash cart?"""
"""Bruno Torturra: Got a smartphone? Start broadcasting"""
"""The power of believing that you can improve | Carol Dweck"""
"""The wonderful and terrifying implications of computers that can learn | Jeremy Howard"""
"""Verna Myers: How to overcome our biases? Walk boldly toward them"""
"""Dave Troy: Social maps that reveal a city's intersections — and separations"""
"""Catherine Crump: The small and surprisingly dangerous detail the police track about you"""
"""Thomas Hellum: The world's most boring television ... and why it's hilariously addictive"""
"""Anastasia Taylor-Lind: Fighters and mourners of the Ukrainian revolution"""
"""Jose Miguel Sokoloff: How we used Christmas lights to fight a war"""
"""Aakash Odedra: A dance in a hurricane of paper, wind and light"""
"""Barbara Natterson-Horowitz: What veterinarians know that doctors don't"""
"""Rainer Strack: The surprising workforce crisis of 2030 — and how to start solving it now"""
"""Ben Saunders: To the South Pole and back — the hardest 105 days of my life"""
"""Hidden Cameras Film Injustice in Dangerous Places | Oren Yakobovich | TED Talks"""
"""Pico Iyer: The art of stillness"""
"""Why some people find exercise harder than others | Emily Balcetis"""
"""Mark Plotkin: What the people of the Amazon know that you don’t"""
"""How autism freed me to be myself | Rosie King"""
"""Joe Landolina: This gel can make you stop bleeding instantly"""
